,race,party,tradeOpinion,freq,,,
1,black,democrat,grow,62,,41%,41%
2,black,democrat,no,41,,27%,69%
3,black,democrat,slow,47,,31%,100%
4,black,democrat,NA,11,150,,
5,black,independent,grow,5,,33%,33%
6,black,independent,no,4,,27%,60%
7,black,independent,slow,6,,40%,100%
8,black,independent,NA,3,15,,
9,black,republcan,grow,8,,40%,40%
10,black,republcan,no,9,,45%,85%
11,black,republcan,slow,3,,15%,100%
12,black,republcan,NA,1,20,,
13,hispanic,democrat,grow,25,,38%,38%
14,hispanic,democrat,no,24,,37%,75%
15,hispanic,democrat,slow,16,,25%,100%
16,hispanic,democrat,NA,2,65,,
17,hispanic,independent,grow,8,,42%,42%
18,hispanic,independent,no,7,,37%,79%
19,hispanic,independent,slow,4,,21%,100%
20,hispanic,independent,NA,3,19,,
21,hispanic,republcan,grow,6,,30%,30%
22,hispanic,republcan,no,5,,25%,55%
23,hispanic,republcan,slow,9,,45%,100%
24,hispanic,republcan,NA,1,20,,
25,white,democrat,grow,236,,38%,38%
26,white,democrat,no,177,,29%,67%
27,white,democrat,slow,205,,33%,100%
28,white,democrat,NA,60,618,,
29,white,independent,grow,36,,33%,33%
30,white,independent,no,23,,21%,54%
31,white,independent,slow,51,,46%,100%
32,white,independent,NA,18,110,,
33,white,republcan,grow,240,,34%,34%
34,white,republcan,no,175,,25%,59%
35,white,republcan,slow,293,,41%,100%
36,white,republcan,NA,53,708,,
